,url_length,mal,special_chars
1596,65,0,13
1597,60,0,9
1598,31,0,4
1599,15,1,1
1600,64,0,8
1601,10,0,3
1602,38,0,5
1603,37,1,7
1604,31,0,4
1605,60,1,10
1606,27,0,4
1607,20,0,3
1608,36,0,6
1609,108,1,20
1610,42,0,5
1611,18,0,2
1612,48,0,4
1613,31,0,4
1614,54,1,11
1615,14,0,2
1616,13,1,1
1617,59,0,8
1618,82,1,17
1619,50,0,8
1620,40,0,6
1621,31,0,4
1622,29,0,5
1623,28,0,4
1624,112,0,23
1625,24,0,4
1626,42,0,7
1627,158,1,30
1628,33,0,6
1629,97,0,17
1630,25,0,3
1631,40,0,5
1632,53,0,6
1633,35,0,5
1634,25,0,3
1635,76,1,15
1636,115,1,19
1637,45,0,5
1638,37,1,8
1639,74,1,11
1640,121,0,19
1641,15,1,2
1642,24,0,2
1643,66,0,9
1644,21,1,1
1645,33,0,4
1646,151,0,26
1647,21,0,3
1648,52,0,7
1649,24,0,3
1650,34,0,5
1651,83,0,14
1652,24,0,3
1653,24,0,2
1654,72,1,10
1655,48,0,5
